time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,datetimes
2022-09-01 00:00:00,1566.41,1534.06,1554.16,30626.81,47508754.12,1551.67,direct,,1661990400,2022-09-01
2022-09-01 01:00:00,1564.3,1548.18,1551.67,15147.25,23573243.79,1559.55,direct,,1661994000,2022-09-01
2022-09-01 02:00:00,1573.92,1551.51,1559.55,16743.88,26196025.35,1557.21,direct,,1661997600,2022-09-01
2022-09-01 03:00:00,1563.78,1537.57,1557.21,18843.67,29247426.18,1549.68,direct,,1662001200,2022-09-01
2022-09-01 04:00:00,1556.95,1542.66,1549.68,10485.71,16262071.08,1551.58,direct,,1662004800,2022-09-01
2022-09-01 05:00:00,1563.01,1548.79,1551.58,13017.41,20272726.31,1553.77,direct,,1662008400,2022-09-01
2022-09-01 06:00:00,1555.97,1544.63,1553.77,12701.34,19690759.15,1550.34,direct,,1662012000,2022-09-01
2022-09-01 07:00:00,1550.44,1531.29,1550.34,23923.62,36873135.69,1544.49,direct,,1662015600,2022-09-01
2022-09-01 08:00:00,1549.51,1533.45,1544.49,15274.14,23567145.61,1547.42,direct,,1662019200,2022-09-01
2022-09-01 09:00:00,1554.76,1538.59,1547.42,15615.74,24158573.68,1549.89,direct,,1662022800,2022-09-01
2022-09-01 10:00:00,1567.52,1548.13,1549.89,14203.71,22111367.13,1565.65,direct,,1662026400,2022-09-01
2022-09-01 11:00:00,1585.8,1559.64,1565.65,24182.65,38029491.96,1578.17,direct,,1662030000,2022-09-01
2022-09-01 12:00:00,1581.29,1552.92,1578.17,21380.05,33505439.72,1565.66,direct,,1662033600,2022-09-01
2022-09-01 13:00:00,1577.57,1555.27,1565.66,28668.02,44860649.98,1565.37,direct,,1662037200,2022-09-01
2022-09-01 14:00:00,1569.5,1515.77,1565.37,57480.3,88427651.5,1518.51,direct,,1662040800,2022-09-01
2022-09-01 15:00:00,1546.66,1513.23,1518.51,27539.32,42187953.47,1535.92,direct,,1662044400,2022-09-01
2022-09-01 16:00:00,1542.35,1523.91,1535.92,25564.18,39208897.09,1538.99,direct,,1662048000,2022-09-01
2022-09-01 17:00:00,1569.15,1536.69,1538.99,22972.62,35701968.12,1555.53,direct,,1662051600,2022-09-01
2022-09-01 18:00:00,1572.6,1552.98,1555.53,18724.15,29255881.54,1559.89,direct,,1662055200,2022-09-01
2022-09-01 19:00:00,1570.02,1556.91,1559.89,12814.82,20016474.3,1564.97,direct,,1662058800,2022-09-01
2022-09-01 20:00:00,1585.29,1562.41,1564.97,17602.48,27756075.24,1580.22,direct,,1662062400,2022-09-01
2022-09-01 21:00:00,1594.27,1577.11,1580.22,12281.19,19467561.15,1581.72,direct,,1662066000,2022-09-01
2022-09-01 22:00:00,1598.99,1581.45,1581.72,19178.41,30468753.57,1586.56,direct,,1662069600,2022-09-01
2022-09-01 23:00:00,1590.93,1581.63,1586.56,8867.39,14064847.0,1585.98,direct,,1662073200,2022-09-01
2022-09-02 00:00:00,1586.47,1573.19,1585.98,15969.45,25227157.74,1581.89,direct,,1662076800,2022-09-02
2022-09-02 01:00:00,1583.17,1571.67,1581.89,11092.08,17501412.21,1579.49,direct,,1662080400,2022-09-02
2022-09-02 02:00:00,1583.94,1567.69,1579.49,10571.8,16653224.45,1577.92,direct,,1662084000,2022-09-02
2022-09-02 03:00:00,1605.58,1577.74,1577.92,27235.32,43519865.84,1596.27,direct,,1662087600,2022-09-02
2022-09-02 04:00:00,1610.32,1591.58,1596.27,11279.93,18033483.0,1593.94,direct,,1662091200,2022-09-02
2022-09-02 05:00:00,1594.42,1586.69,1593.94,9115.07,14494739.69,1591.69,direct,,1662094800,2022-09-02
2022-09-02 06:00:00,1592.43,1579.19,1591.69,8302.81,13165393.68,1588.84,direct,,1662098400,2022-09-02
2022-09-02 07:00:00,1597.28,1581.91,1588.84,10116.73,16100659.77,1594.46,direct,,1662102000,2022-09-02
2022-09-02 08:00:00,1597.93,1584.76,1594.46,6865.7,10915743.79,1590.82,direct,,1662105600,2022-09-02
2022-09-02 09:00:00,1597.55,1586.94,1590.82,6469.67,10295493.79,1594.22,direct,,1662109200,2022-09-02
2022-09-02 10:00:00,1602.67,1582.94,1594.22,10254.97,16328032.66,1589.53,direct,,1662112800,2022-09-02
2022-09-02 11:00:00,1594.32,1583.04,1589.53,7404.16,11760351.22,1593.74,direct,,1662116400,2022-09-02
2022-09-02 12:00:00,1644.94,1586.82,1593.74,82383.43,133216939.58,1624.5,direct,,1662120000,2022-09-02
2022-09-02 13:00:00,1644.81,1621.77,1624.5,40735.21,66631865.38,1629.66,direct,,1662123600,2022-09-02
2022-09-02 14:00:00,1649.27,1622.23,1629.66,39811.35,65203698.76,1638.36,direct,,1662127200,2022-09-02
2022-09-02 15:00:00,1644.08,1630.08,1638.36,19907.99,32584632.84,1636.54,direct,,1662130800,2022-09-02
2022-09-02 16:00:00,1639.34,1604.71,1636.54,34452.81,55857597.12,1610.37,direct,,1662134400,2022-09-02
2022-09-02 17:00:00,1612.45,1580.33,1610.37,42764.72,68212581.77,1583.36,direct,,1662138000,2022-09-02
2022-09-02 18:00:00,1589.59,1570.78,1583.36,33455.03,52851610.34,1578.28,direct,,1662141600,2022-09-02
2022-09-02 19:00:00,1581.7,1546.9,1578.28,32492.55,50729381.76,1562.26,direct,,1662145200,2022-09-02
2022-09-02 20:00:00,1569.5,1551.38,1562.26,15966.88,24906093.78,1569.09,direct,,1662148800,2022-09-02
2022-09-02 21:00:00,1585.11,1568.28,1569.09,12023.56,18956119.41,1580.03,direct,,1662152400,2022-09-02
